Title,Title,Year,IMDB Rating,IMDB Votes,Budget,Revenue
1,The Shawshank Redemption,1994,9.3,1825626,49368252,28341469
2,The Godfather,1972,9.2,1243444,42007894,245066411
3,The Godfather: Part II,1974,9.0,856870,77170689,47542841
4,The Dark Knight,2008,9.0,1802351,251465028,1004558444
5,12 Angry Men,1957,8.9,494215,3645169,1000000
6,Schindler's List,1993,8.9,937837,44556470,321365567
7,The Lord of the Rings: The Return of the King,2003,8.9,1304569,149508532,1118888979
8,Pulp Fiction,1994,8.9,1427451,15797840,213928762
9,Fight Club,1999,8.8,1458676,110667857,100853753
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1326876,153681055,871368364
11,Forrest Gump,1994,8.8,1365937,108610155,677945399
13,Inception,2010,8.8,1592306,214737498,825532764
14,The Lord of the Rings: The Two Towers,2002,8.7,1188300,128514424,926287400
15,One Flew Over the Cuckoo's Nest,1975,8.7,729653,16319052,108981275
17,The Matrix,1999,8.7,1314628,110667857,463517383
19,Se7en,1995,8.6,1108627,63370177,327311859
20,It's a Wonderful Life,1946,8.6,301614,47725276,9644124
21,The Silence of the Lambs,1991,8.6,967878,40825587,272742922
22,The Usual Suspects,1995,8.6,797545,11521850,23341568
24,Saving Private Ryan,1998,8.6,960639,125680061,481840909
25,City Lights,1931,8.6,119453,28880427,19181
26,Interstellar,2014,8.6,1057411,203974363,675120017
27,American History X,1998,8.5,843128,35908588,23875127
29,Casablanca,1942,8.5,415400,15763870,10462500
30,The Green Mile,1999,8.5,857527,105397959,284600000
32,Raiders of the Lost Ark,1981,8.5,709587,57951485,389925971
33,The Pianist,2002,8.5,547383,56936770,120072577
34,Rear Window,1954,8.5,342023,10879368,36764313
35,The Departed,2006,8.5,943314,130649553,289847354
36,Whiplash,2014,8.5,485079,4079487,13092000
37,Terminator 2: Judgment Day,1991,8.5,798971,214871512,520000000
38,Back to the Future,1985,8.5,798211,51676998,381109762
39,Gladiator,2000,8.5,1059523,175049157,457640427
40,The Lion King,1994,8.5,707806,88862854,788241776
41,The Prestige,2006,8.5,922672,58066468,109676311
42,Apocalypse Now,1979,8.5,481465,126978409,89460381
43,Memento,2000,8.5,909341,15295557,39723096
44,The Great Dictator,1940,8.5,151705,41807857,11000000
45,Sunset Boulevard,1950,8.5,151983,21275168,5000000
46,Alien,1979,8.5,618222,44341666,104931801
47,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.5,367328,16992870,9440272
49,Django Unchained,2012,8.4,1047465,127466310,425368238
50,The Shining,1980,8.4,664418,67481128,44017374
51,Witness for the Prosecution,1957,8.4,70915,31244306,9000000
52,The Dark Knight Rises,2012,8.5,1228378,318665775,1084939099
53,WALL·E,2008,8.4,782275,244668676,521311860
54,American Beauty,1999,8.4,881549,26349489,356296601
56,Aliens,1986,8.4,529034,49398882,183316455
57,Citizen Kane,1941,8.4,318781,16717707,23217674
58,North by Northwest,1959,8.4,235871,40227491,13275000
59,Vertigo,1958,8.4,272500,25103520,28000000
61,Braveheart,1995,8.4,793897,138262204,210000000
62,Reservoir Dogs,1992,8.3,721998,2503107,14661007
63,Double Indemnity,1944,8.3,106914,15418628,2500000
64,Requiem for a Dream,2000,8.4,618232,7647778,7390108
65,Lawrence of Arabia,1962,8.3,207765,145358443,69995385
67,A Clockwork Orange,1971,8.3,601251,15897308,26589000
68,Amadeus,1984,8.3,293394,50700577,51973029
69,To Kill a Mockingbird,1962,8.3,234351,19381125,13129846
70,Eternal Sunshine of the Spotless Mind,2004,8.3,720117,30985177,72258126
71,Singin' in the Rain,1952,8.3,166166,28059540,7200000
72,Taxi Driver,1976,8.3,549211,6686318,28262574
73,The Sting,1973,8.3,190154,36252308,159616327
74,Toy Story 3,2010,8.3,589975,268421873,1066969703
75,2001: A Space Odyssey,1968,8.3,462767,88301077,68700000
76,Full Metal Jacket,1987,8.3,527053,43795202,46357676
77,Baby Driver,2017,8.5,2872,40593464,224511319
78,Toy Story,1995,8.3,680986,57609251,373554033
79,Inglourious Basterds,2009,8.3,969927,95488656,319131050
80,Snatch,2000,8.3,643205,16995063,83557872
81,The Apartment,1960,8.3,119156,29660979,25000000
82,All About Eve,1950,8.3,89890,17000705,63463
83,Monty Python and the Holy Grail,1975,8.3,408671,2175873,5028948
84,Scarface,1983,8.3,580090,73457580,65884703
85,L.A. Confidential,1997,8.3,441642,63818847,126216940
86,Good Will Hunting,1997,8.3,659342,18233956,225933435
87,The Treasure of the Sierra Madre,1948,8.3,85244,46144771,4307000
88,Indiana Jones and the Last Crusade,1989,8.3,555173,113285806,474171806
89,Some Like It Hot,1959,8.3,189098,29002492,25000000
90,Batman Begins,2005,8.3,1053569,224773425,374218673
91,Up,2009,8.3,727405,238721642,735099082
93,Unforgiven,1992,8.2,298035,29202922,159157447
94,Judgment at Nuremberg,1961,8.3,49303,29363377,10000000
95,Raging Bull,1980,8.2,251296,63929490,23000000
96,The Great Escape,1963,8.2,177901,38255555,11744471
97,Heat,1995,8.2,461331,115218503,187436818
98,Die Hard,1988,8.2,636557,69267455,140767956
99,The Gold Rush,1925,8.2,73848,15435460,2500000
100,Chinatown,1974,8.2,232188,35617241,30000000
101,On the Waterfront,1954,8.2,109591,9900224,9600000
102,Mr. Smith Goes to Washington,1939,8.2,83328,31581474,9600000
104,Inside Out,2015,8.2,421211,216079964,857611174
105,The Bridge on the River Kwai,1957,8.2,161564,31244306,27200000
106,Room,2015,8.2,226372,7408455,35401758
107,La La Land,2016,8.2,272059,36580808,445435700
108,Logan,2017,8.3,316354,115810766,616801808
109,Blade Runner,1982,8.2,499344,84915440,33139618
110,"Lock, Stock and Two Smoking Barrels",1998,8.2,442704,2423829,3897569
111,Casino,1995,8.2,360941,99856036,116112375
112,A Beautiful Mind,2001,8.2,667901,99149068,313542341
113,The Elephant Man,1980,8.2,174583,17758191,26010864
114,Warrior,2011,8.2,358261,32526040,23057115
115,V for Vendetta,2005,8.2,849623,80918433,132511035
116,The Wolf of Wall Street,2013,8.2,874371,125626188,392000694
117,Dial M for Murder,1954,8.2,116207,15231115,3000000
118,Hacksaw Ridge,2016,8.2,221901,48774410,175302354
119,Gone with the Wind,1939,8.2,230951,84217266,400176459
121,Rebecca,1940,8.2,94586,26924259,6000000
122,Trainspotting,1996,8.2,517568,7460930,16491080
123,The Deer Hunter,1978,8.2,249067,67328604,50000000
124,Cool Hand Luke,1967,8.2,128345,26286377,16217773
125,Gran Torino,2008,8.2,598907,44855923,269958228
126,The Big Lebowski,1998,8.2,580796,26931441,46189568
127,The Thing,1982,8.2,281843,106144300,28128670
128,It Happened One Night,1934,8.2,70807,7097975,4500000
129,Fargo,1996,8.1,490860,13056628,60611975
130,The Sixth Sense,1999,8.1,754842,70265306,672806292
131,Finding Nemo,2003,8.1,756517,149508532,940335536
132,Mary and Max,2009,8.2,129873,805153,1725381
133,No Country for Old Men,2007,8.1,666081,35286507,171600000
134,How to Train Your Dragon,2010,8.1,528657,221448045,494878759
135,There Will Be Blood,2007,8.1,402281,35286507,77208711
136,Into the Wild,2007,8.1,461312,21171904,56255142
137,Kill Bill: Vol. 1,2003,8.1,791579,47715489,180949000
138,Gone Girl,2014,8.1,640332,75408704,369330363
139,Life of Brian,1979,8.1,291865,16124242,20045115
140,Network,1976,8.1,111892,19544622,23689877
141,Shutter Island,2010,8.1,862078,107368749,294804195
142,In the Name of the Father,1993,8.1,119905,26328823,65796862
143,Rush,2013,8.1,341336,47737951,90247624
144,Hotel Rwanda,2004,8.1,282079,27112030,38000000
145,Platoon,1986,8.1,311879,16021259,138530565
148,Stand by Me,1986,8.1,292157,21361678,52287414
149,Hachi: A Dog's Tale,2009,8.1,179414,21825978,47801389
151,The Maltese Falcon,1941,8.1,122177,7465688,1000000
152,Butch Cassidy and the Sundance Kid,1969,8.1,163664,47845504,102308889
154,Spotlight,2015,8.1,274216,24694853,88346473
156,The Best Years of Our Lives,1946,8.1,43479,31516692,23650000
158,12 Years a Slave,2013,8.1,490387,25125237,187000000
159,The Grand Budapest Hotel,2014,8.1,537323,37086247,174600318
160,Mad Max: Fury Road,2015,8.1,638510,185211398,378858340
161,The Princess Bride,1987,8.1,314262,41219014,30857814
163,Million Dollar Baby,2004,8.1,519405,46477766,216763646
